n,m,seed,fw_ub,fw_lb,fw_time_s,fw_diag_err,cgal_ub,cgal_lb,cgal_gw_lb,cgal_time_s,cgal_diag_err,cgal_dual_gap,delta_ub_pct
500,750,0,2879.2730725919255,475.57382337988537,2.0844779014587402,4.681908599735259,728.2809486455092,624.5041847196828,609.0,2.324225902557373,5.551384399691838,490.78167321149056,-74.70608274088052
500,750,1,2847.6078685593966,465.3231861692664,1.6861789226531982,3.3390909902429806,728.1124356913745,620.3133672925992,613.0,2.4329047203063965,5.503684802030032,497.9277566667564,-74.43073381941012
500,750,2,3002.4953613703965,453.24376390986447,2.0041069984436035,2.8062599652785485,726.3501799589448,626.921970607935,622.0,2.417466878890991,5.561175965342259,495.8063466784469,-75.80844955485878
500,750,3,2854.4935191641416,467.8286470496733,2.0380587577819824,3.4313273265379687,727.6462920587447,626.4416237024648,609.0,2.8226876258850098,5.487412250449478,490.7400535939503,-74.50874254316697
500,750,4,2869.929480802016,449.94400809857484,1.8476948738098145,3.063508101591128,727.0629905741823,622.1083373682981,623.0,2.334794759750366,5.62899245264271,497.6513312941627,-74.66617227225383
1000,1500,0,6524.461966757353,873.0258395164735,6.60541844367981,6.110723042786781,1456.5217115451937,1250.5513033622528,1239.0,8.989701747894287,8.87141455900598,1004.8269988179303,-77.67598739993754
1000,1500,1,6764.6329295951155,874.5748642617608,7.875012159347534,5.903811802618518,1454.245981391079,1261.268277389311,1236.0,8.324220657348633,8.701528964710795,1010.1941585244706,-78.50221887090449
1000,1500,2,6670.901594213074,909.9987593463417,7.6844494342803955,3.6099431668314255,1457.622434589947,1261.7147315483137,1241.0,20.855080604553223,8.82865421841132,1013.1133629537408,-78.14954374601453
1000,1500,3,6598.677280744196,868.9414026412624,7.2073376178741455,4.116943152732143,1456.5415131432114,1266.1574691978526,1237.0,11.559024572372437,8.62476198803914,1004.4989879341533,-77.92676545353127
1000,1500,4,6641.246728765946,873.5570760096745,6.510851860046387,3.998164697880487,1455.9751666080838,1259.9711253174692,1241.0,10.300554990768433,8.910348829320533,1009.7025028385737,-78.07677946519195
2000,3000,0,16469.448848241198,1715.6943727668126,21.28871512413025,8.25639421385617,2912.280252474561,2565.39699935133,2484.0,32.93387150764465,17.95646208823295,1700.0593962756093,-82.3170752141741
2000,3000,1,16722.00192290986,1671.8843370384918,30.130866527557373,7.5826112811125626,2913.0603131994562,2566.425425246065,2482.0,49.32281732559204,18.008346603152233,1720.494187375731,-82.57947626947443
2000,3000,2,16408.78695394238,1682.5663675337296,32.7455108165741,4.973353968332155,2913.861609371764,2569.667031176671,2496.0,46.41442823410034,17.38494111393685,1689.2870211235359,-82.2420656837666
2000,3000,3,16646.773111938594,1689.0195157660203,29.356977224349976,8.44785496525048,2913.2662150509045,2570.907320604041,2497.0,55.17958068847656,18.563116515964417,1737.9809294667316,-82.49951389701111
2000,3000,4,16706.049118938445,1654.698096452069,42.554943323135376,9.217930973828128,2914.6242528479847,2571.4455055652757,2490.0,46.70997714996338,18.345838277809975,1712.269447337759,-82.55347968812156
